1.073232	0.87954	1.315248	1.286834	-1.002488	-1.011178	0.787589	1.66782	-1.95475	0.291127
1.078954	0.887072	1.319094	1.294578	-1.002584	-1.011326	0.800602	1.683858	-1.974087	0.289601
1.084644	0.894598	1.32278	1.302199	-1.002681	-1.011469	0.813595	1.699793	-1.993424	0.288087
1.090297	0.902113	1.326309	1.309698	-1.002779	-1.011606	0.826567	1.715625	-2.012759	0.286586
1.095911	0.909615	1.329683	1.317076	-1.002878	-1.011739	0.839517	1.731354	-2.032089	0.285096
1.101485	0.917102	1.332904	1.324334	-1.002977	-1.011866	0.852444	1.746982	-2.051411	0.283619
1.107016	0.924569	1.335973	1.331474	-1.003078	-1.011988	0.86535	1.762509	-2.070723	0.282155
1.112501	0.932016	1.338893	1.338498	-1.003178	-1.012104	0.878232	1.777935	-2.090021	0.280703
1.11794	0.939438	1.341667	1.345406	-1.00328	-1.012216	0.891091	1.79326	-2.109304	0.279264
1.123329	0.946834	1.344296	1.3522	-1.003381	-1.012322	0.903925	1.808486	-2.12857	0.277838
1.128667	0.954201	1.346782	1.358882	-1.003484	-1.012423	0.916736	1.823613	-2.147815	0.276425
1.133953	0.961536	1.349128	1.365453	-1.003586	-1.012518	0.929521	1.838642	-2.167037	0.275024
1.139185	0.968837	1.351337	1.371915	-1.003689	-1.012608	0.94228	1.853573	-2.186234	0.273637
1.144361	0.976103	1.353411	1.37827	-1.003792	-1.012694	0.955013	1.868409	-2.205406	0.272263
1.14948	0.98333	1.355352	1.384518	-1.003894	-1.012774	0.96772	1.883149	-2.224548	0.270901
1.154541	0.990517	1.357163	1.390662	-1.003997	-1.012849	0.9804	1.897794	-2.243659	0.269552
1.159542	0.997662	1.358846	1.396703	-1.0041	-1.012919	0.993053	1.912347	-2.262738	0.268217
1.164482	1.004763	1.360403	1.402643	-1.004203	-1.012984	1.005678	1.926807	-2.281782	0.266894
1.169361	1.011818	1.361838	1.408483	-1.004305	-1.013044	1.018274	1.941176	-2.30079	0.265584
1.174177	1.018826	1.363152	1.414225	-1.004407	-1.013099	1.030842	1.955455	-2.31976	0.264287
1.17893	1.025785	1.364349	1.419871	-1.004509	-1.013149	1.04338	1.969645	-2.338691	0.263003
1.183618	1.032693	1.36543	1.425423	-1.004611	-1.013195	1.055889	1.983747	-2.357581	0.261731
1.188241	1.039549	1.366399	1.43088	-1.004712	-1.013236	1.068368	1.997762	-2.376429	0.260472
1.192799	1.046351	1.367257	1.436247	-1.004813	-1.013273	1.080817	2.011692	-2.395233	0.259226
1.19729	1.053099	1.368008	1.441523	-1.004913	-1.013305	1.093235	2.025538	-2.413992	0.257992
1.201715	1.05979	1.368653	1.446711	-1.005013	-1.013332	1.105622	2.0393	-2.432704	0.25677
